ONS_ID,facility_type,popwt_avg_time_s
3076,fastfood,408
3076,gallery,1044
3076,library,882
3076,mall,1039
3076,movie_theatre,979
3076,museum,922
3076,shade_structure,404
3076,splash_pad,646
3077,arena,253
3077,cmmt_centre,89
3077,fastfood,47
3077,gallery,209
3077,library,128
3077,mall,289
3077,movie_theatre,246
3077,museum,107
3077,shade_structure,81
3077,splash_pad,93
3078,arena,749
3078,cmmt_centre,334
3078,fastfood,542
3078,gallery,1703
3078,library,301
3078,mall,1326
3078,movie_theatre,977
3078,museum,726
3078,shade_structure,262
3078,splash_pad,732
3079,arena,529
3079,cmmt_centre,265
3079,fastfood,109
3079,gallery,991
3079,library,210
3079,mall,624
3079,movie_theatre,226
3079,museum,550
3079,shade_structure,76
3079,splash_pad,116
3080,arena,631
3080,cmmt_centre,176
3080,fastfood,123
3080,gallery,1051
3080,library,172
3080,mall,686
3080,movie_theatre,266
3080,museum,644
3080,shade_structure,129
3080,splash_pad,146
3081,arena,291
3081,cmmt_centre,145
3081,fastfood,111
3081,gallery,527
3081,library,313
3081,mall,400
3081,movie_theatre,243
3081,museum,484
3081,shade_structure,142
3081,splash_pad,118
3082,arena,188
3082,cmmt_centre,169
3082,fastfood,81
3082,gallery,240
3082,library,230
3082,mall,272
3082,movie_theatre,335
3082,museum,176
3082,shade_structure,275
3082,splash_pad,89
3083,arena,211
3083,cmmt_centre,89
3083,fastfood,76
3083,gallery,165
3083,library,79
3083,mall,222
3083,movie_theatre,431
3083,museum,322
3083,shade_structure,122
3083,splash_pad,108
3085,arena,247
3085,cmmt_centre,219
3085,fastfood,95
3085,gallery,323
3085,library,166
3085,mall,308
3085,movie_theatre,186
3085,museum,773
3085,shade_structure,194
3085,splash_pad,101
3086,arena,384
3086,cmmt_centre,604
3086,fastfood,301
3086,gallery,1708
3086,library,253
3086,mall,1496
3086,movie_theatre,1273
3086,museum,649
3086,shade_structure,444
3086,splash_pad,946
3087,arena,174
3087,cmmt_centre,96
3087,fastfood,82
3087,gallery,299
3087,library,234
3087,mall,180
3087,movie_theatre,267
3087,museum,307
3087,shade_structure,136
3087,splash_pad,113
3088,arena,231
3088,cmmt_centre,162
3088,fastfood,113
3088,gallery,499
3088,library,148
3088,mall,276
3088,movie_theatre,544
3088,museum,217
3088,shade_structure,140
3088,splash_pad,91
3089,arena,221
3089,cmmt_centre,226
3089,fastfood,104
3089,gallery,271
3089,library,210
3089,mall,276
3089,movie_theatre,224
3089,museum,402
3089,shade_structure,90
3089,splash_pad,46
3090,arena,231
3090,cmmt_centre,136
3090,fastfood,132
3090,gallery,284
3090,library,193
3090,mall,370
3090,movie_theatre,433
3090,museum,438
3090,shade_structure,102
3090,splash_pad,103
3091,arena,427
3091,cmmt_centre,133
3091,fastfood,125
3091,gallery,475
3091,library,286
3091,mall,512
3091,movie_theatre,361
3091,museum,809
3091,shade_structure,72
3091,splash_pad,97
3092,arena,255
3092,cmmt_centre,165
3092,fastfood,71
3092,gallery,591
3092,library,112
3092,mall,195
3092,movie_theatre,231
3092,museum,434
3092,shade_structure,86
3092,splash_pad,88
3093,arena,174
3093,cmmt_centre,93
3093,fastfood,124
3093,gallery,607
3093,library,146
3093,mall,162
3093,movie_theatre,175
3093,museum,483
3093,shade_structure,81
3093,splash_pad,134
3094,arena,306
3094,cmmt_centre,172
3094,fastfood,153
3094,gallery,206
3094,library,260
3094,mall,160
3094,movie_theatre,480
3094,museum,588
3094,shade_structure,189
3094,splash_pad,92
3095,arena,382
3095,cmmt_centre,135
3095,fastfood,146
3095,gallery,228
3095,library,165
3095,mall,263
3095,movie_theatre,332
3095,museum,669
3095,shade_structure,173
3095,splash_pad,118
3097,arena,490
3097,cmmt_centre,272
3097,fastfood,97
3097,gallery,935
3097,library,278
3097,mall,604
3097,movie_theatre,287
3097,museum,499
3097,shade_structure,70
3097,splash_pad,118
3098,arena,218
3098,cmmt_centre,245
3098,fastfood,170
3098,gallery,343
3098,library,244
3098,mall,241
3098,movie_theatre,289
3098,museum,314
3098,shade_structure,156
3098,splash_pad,207
3099,arena,222
3099,cmmt_centre,181
3099,fastfood,169
3099,gallery,446
3099,library,261
3099,mall,344
3099,movie_theatre,306
3099,museum,403
3099,shade_structure,91
3099,splash_pad,116
3100,arena,576
3100,cmmt_centre,122
3100,fastfood,197
3100,gallery,934
3100,library,378
3100,mall,695
3100,movie_theatre,402
3100,museum,444
3100,shade_structure,67
3100,splash_pad,92
3101,arena,283
3101,cmmt_centre,180
3101,fastfood,97
3101,gallery,194
3101,library,214
3101,mall,307
3101,movie_theatre,393
3101,museum,291
3101,shade_structure,194
3101,splash_pad,227
3102,arena,337
3102,cmmt_centre,212
3102,fastfood,144
3102,gallery,323
3102,library,155
3102,mall,377
3102,movie_theatre,372
3102,museum,203
3102,shade_structure,87
3102,splash_pad,137
3103,arena,164
3103,cmmt_centre,149
3103,fastfood,121
3103,gallery,520
3103,library,246
3103,mall,130
3103,movie_theatre,297
3103,museum,543
3103,shade_structure,131
3103,splash_pad,107
3104,arena,125
3104,cmmt_centre,66
3104,fastfood,52
3104,gallery,143
3104,library,102
3104,mall,162
3104,movie_theatre,123
3104,museum,196
3104,shade_structure,175
3104,splash_pad,84
3105,arena,176
3105,cmmt_centre,178
3105,fastfood,79
3105,gallery,424
3105,library,74
3105,mall,379
3105,movie_theatre,115
3105,museum,507
3105,shade_structure,139
3105,splash_pad,200
3106,arena,183
3106,cmmt_centre,217
3106,fastfood,127
3106,gallery,1360
3106,library,168
3106,mall,542
3106,movie_theatre,698
3106,museum,286
3106,shade_structure,115
3106,splash_pad,147
3107,arena,257
3107,cmmt_centre,216
3107,fastfood,147
3107,gallery,1186
3107,library,244
3107,mall,342
3107,movie_theatre,536
3107,museum,407
3107,shade_structure,100
3107,splash_pad,109
3108,arena,245
3108,cmmt_centre,331
3108,fastfood,110
3108,gallery,1171
3108,library,293
3108,mall,422
3108,movie_theatre,522
3108,museum,531
3108,shade_structure,92
3108,splash_pad,105
3109,arena,777
3109,cmmt_centre,144
3109,fastfood,224
3109,gallery,1207
3109,library,290
3109,mall,863
3109,movie_theatre,284
3109,museum,449
3109,shade_structure,67
3109,splash_pad,79
3110,arena,397
3110,cmmt_centre,96
3110,fastfood,112
3110,gallery,718
3110,library,242
3110,mall,331
3110,movie_theatre,436
3110,museum,506
